time	x	y	pressure	tiltX	tiltY	azimuth	sidePressure	rotation
2.748640865087509	685.0	540.0	0.15924315	1.0471954	1.0472295	0.7854375	0.0	0.0
2.810672888997942	686.0	539.0	0.23984131	0.9773801	1.0472295	0.86289513	0.0	0.0
2.8279386849608272	687.0	540.0	0.25107196	0.9773801	1.0472295	0.86289513	0.0	0.0
2.8442050910089165	690.0	541.0	0.26083773	0.9773801	1.0472295	0.86289513	0.0	0.0
2.8632709621451795	693.0	541.0	0.26916915	1.0122877	1.0472295	0.82494414	0.0	0.0
2.8802976689767092	700.0	542.0	0.27307546	1.0122877	1.0472295	0.82494414	0.0	0.0
2.894744428107515	705.0	543.0	0.27600518	1.0122877	1.0472295	0.82494414	0.0	0.0
2.9139859301503748	710.0	543.0	0.27747005	1.0471954	1.0472295	0.7854375	0.0	0.0
2.9302846260834485	718.0	543.0	0.27795833	1.0122877	1.0472295	0.82494414	0.0	0.0
2.945905575994402	723.0	542.0	0.27844664	1.0122877	1.0472295	0.82494414	0.0	0.0
2.9624976271297783	728.0	540.0	0.2764935	0.9773801	1.0472295	0.86289513	0.0	0.0
2.9787790831178427	736.0	537.0	0.27258718	0.9773801	1.0472295	0.86289513	0.0	0.0
2.995315653970465	741.0	534.0	0.27307546	0.94247246	1.0472295	0.8993648	0.0	0.0
3.012125683017075	744.0	531.0	0.27209887	0.94247246	1.0472295	0.8993648	0.0	0.0
3.0286928040441126	749.0	528.0	0.27258718	0.94247246	1.0472295	0.8993648	0.0	0.0
3.045315839117393	751.0	526.0	0.27209887	0.94247246	1.0472295	0.8993648	0.0	0.0
3.0619651649612933	753.0	525.0	0.27063403	0.94247246	1.0472295	0.8993648	0.0	0.0
3.0796803650446236	754.0	525.0	0.2662089	0.94247246	1.0472295	0.8993648	0.0	0.0
3.0953083261847496	754.0	525.0	0.26770428	0.94247246	1.0472295	0.8993648	0.0	0.0
3.111931096063927	753.0	526.0	0.2711223	0.94247246	1.0472295	0.8993648	0.0	0.0
3.1312966120895	752.0	527.0	0.27405202	0.9773801	1.0472295	0.86289513	0.0	0.0
3.1462705000303686	749.0	529.0	0.28235295	0.94247246	1.0472295	0.8993648	0.0	0.0
3.1633010890800506	745.0	531.0	0.29993135	0.94247246	1.0472295	0.8993648	0.0	0.0
3.180618913145736	739.0	534.0	0.30872053	0.94247246	1.0472295	0.8993648	0.0	0.0
3.196303710108623	734.0	536.0	0.32190433	0.94247246	1.0472295	0.8993648	0.0	0.0
3.21452844212763	728.0	538.0	0.34830242	0.94247246	1.0472295	0.8993648	0.0	0.0
3.2300791239831597	720.0	540.0	0.38394752	0.94247246	1.0472295	0.8993648	0.0	0.0
3.2463080901652575	714.0	541.0	0.4113222	0.94247246	1.0472295	0.8993648	0.0	0.0
3.263973964145407	706.0	542.0	0.43768978	0.94247246	1.0472295	0.8993648	0.0	0.0
3.2792881750501692	696.0	541.0	0.4767834	0.94247246	1.0472295	0.8993648	0.0	0.0
3.2951562681701034	689.0	540.0	0.51389337	0.94247246	1.0472295	0.8993648	0.0	0.0
3.313691636081785	681.0	539.0	0.534432	0.9773801	1.0472295	0.86289513	0.0	0.0
3.3284899410791695	670.0	537.0	0.55640495	0.9773801	1.0472295	0.86289513	0.0	0.0
3.345300680026412	663.0	535.0	0.5715419	1.0122877	1.0472295	0.82494414	0.0	0.0
3.3617428289726377	656.0	534.0	0.58277255	1.0122877	1.0472295	0.82494414	0.0	0.0
3.378145480994135	650.0	532.0	0.6121004	1.0122877	1.0472295	0.82494414	0.0	0.0
3.395530592184514	646.0	531.0	0.63651484	1.0122877	1.0472295	0.82494414	0.0	0.0
3.4119206101167947	643.0	529.0	0.6540932	1.0122877	1.0472295	0.82494414	0.0	0.0
3.4282963471487164	644.0	528.0	0.65751123	0.9773801	1.0472295	0.86289513	0.0	0.0
3.4446616710629314	648.0	526.0	0.6594644	0.9773801	1.0472295	0.86289513	0.0	0.0
3.4611185481771827	651.0	526.0	0.6560464	0.9773801	1.0472295	0.86289513	0.0	0.0
